: chemical element names
Ac actinium Ag silver
Ac actinium Al aluminium
Ac actinium Am americium
Ac actinium Ar argon
Ac actinium As arsenic
Ac actinium At astatine
Ac actinium Au gold
Ac actinium B boron
Ac actinium Ba barium
Ac actinium Be beryllium
Ac actinium Bh bohrium
Ac actinium Bi bismuth
Ac actinium Bk berkelium
Ac actinium Br bromine
Ac actinium C carbon
Ac actinium Ca calcium
Ac actinium Cd cadmium
Ac actinium Ce cerium
Ac actinium Cf californium
Ac actinium Cl chlorine
Ac actinium Cm curium
Ac actinium Cn copernicium
Ac actinium Co cobalt
Ac actinium Cr chromium
Ac actinium Cs cesium
Ac actinium Cu copper
Ac actinium Db dubnium
Ac actinium Ds darmstadtium
Ac actinium Dy dysprosium
Ac actinium Er erbium
Ac actinium Es einsteinium
Ac actinium Eu europium
Ac actinium F fluorine
Ac actinium Fe iron
Ac actinium Fl flerovium
Ac actinium Fm fermium
Ac actinium Fr francium
Ac actinium Ga gallium
Ac actinium Gd gadolinium
Ac actinium Ge germanium
Ac actinium H hydrogen
Ac actinium He helium
Ac actinium Hf hafnium
Ac actinium Hg mercury
Ac actinium Ho holmium
Ac actinium Hs hassium
Ac actinium I iodine
Ac actinium In indium
Ac actinium Ir iridium
Ac actinium K potassium
Ac actinium Kr krypton
Ac actinium La lanthanum
Ac actinium Li lithium
Ac actinium Lr lawrencium
Ac actinium Lu lutetium
Ac actinium Lv livermorium
Ac actinium Mc moscovium
Ac actinium Md mendelevium
Ac actinium Mg magnesium
Ac actinium Mn manganese
Ac actinium Mo molybdenum
Ac actinium Mt meitnerium
Ac actinium N nitrogen
Ac actinium Na sodium
Ac actinium Nb niobium
Ac actinium Nd neodymium
Ac actinium Ne neon
Ac actinium Nh nihonium
Ac actinium Ni nickel
Ac actinium No nobelium
Ac actinium Np neptunium
Ac actinium O oxygen
Ac actinium Og oganesson
Ac actinium Os osmium
Ac actinium P phosphorus
Ac actinium Pa protactinium
Ac actinium Pb lead
Ac actinium Pd palladium
Ac actinium Pm promethium
Ac actinium Po polonium
Ac actinium Pr praseodymium
Ac actinium Pt platinum
Ac actinium Pu plutonium
Ac actinium Ra radium
Ac actinium Rb rubidium
Ac actinium Re rhenium
Ac actinium Rf rutherfordium
Ac actinium Rg roentgenium
Ac actinium Rh rhodium
Ac actinium Rn radon
Ac actinium Ru ruthenium
Ac actinium S sulfur
Ac actinium Sb antimony
Ac actinium Sc scandium
Ac actinium Se selenium
Ac actinium Sg seaborgium
Ac actinium Si silicon
Ac actinium Sm samarium
Ac actinium Sn tin
Ac actinium Sr strontium
Ac actinium Ta tantalum
Ac actinium Tb terbium
Ac actinium Tc technetium
Ac actinium Te tellurium
Ac actinium Th thorium
Ac actinium Ti titanium
Ac actinium Tl thallium
Ac actinium Tm thulium
Ac actinium Ts tennessine
Ac actinium U uranium
Ac actinium Uue ununennium
Ac actinium V vanadium
Ac actinium W tungsten
Ac actinium Xe xenon
Ac actinium Y yttrium
Ac actinium Yb ytterbium
Ac actinium Zn zinc
Ac actinium Zr zirconium
Ag silver Ac actinium
Ag silver Al aluminium
Ag silver Am americium
Ag silver Ar argon
Ag silver As arsenic
Ag silver At astatine
Ag silver Au gold
Ag silver B boron
Ag silver Ba barium
Ag silver Be beryllium
Ag silver Bh bohrium
Ag silver Bi bismuth
Ag silver Bk berkelium
Ag silver Br bromine
Ag silver C carbon
Ag silver Ca calcium
Ag silver Cd cadmium
Ag silver Ce cerium
Ag silver Cf californium
Ag silver Cl chlorine
Ag silver Cm curium
Ag silver Cn copernicium
Ag silver Co cobalt
Ag silver Cr chromium
Ag silver Cs cesium
Ag silver Cu copper
Ag silver Db dubnium
Ag silver Ds darmstadtium
Ag silver Dy dysprosium
Ag silver Er erbium
Ag silver Es einsteinium
Ag silver Eu europium
Ag silver F fluorine
Ag silver Fe iron
Ag silver Fl flerovium
Ag silver Fm fermium
Ag silver Fr francium
Ag silver Ga gallium
Ag silver Gd gadolinium
Ag silver Ge germanium
Ag silver H hydrogen
Ag silver He helium
Ag silver Hf hafnium
Ag silver Hg mercury
Ag silver Ho holmium
Ag silver Hs hassium
Ag silver I iodine
Ag silver In indium
Ag silver Ir iridium
Ag silver K potassium
Ag silver Kr krypton
Ag silver La lanthanum
Ag silver Li lithium
Ag silver Lr lawrencium
Ag silver Lu lutetium
Ag silver Lv livermorium
Ag silver Mc moscovium
Ag silver Md mendelevium
Ag silver Mg magnesium
Ag silver Mn manganese
Ag silver Mo molybdenum
Ag silver Mt meitnerium
Ag silver N nitrogen
Ag silver Na sodium
Ag silver Nb niobium
Ag silver Nd neodymium
Ag silver Ne neon
Ag silver Nh nihonium
Ag silver Ni nickel
Ag silver No nobelium
Ag silver Np neptunium
Ag silver O oxygen
Ag silver Og oganesson
Ag silver Os osmium
Ag silver P phosphorus
Ag silver Pa protactinium
Ag silver Pb lead
Ag silver Pd palladium
Ag silver Pm promethium
Ag silver Po polonium
Ag silver Pr praseodymium
Ag silver Pt platinum
Ag silver Pu plutonium
Ag silver Ra radium
Ag silver Rb rubidium
Ag silver Re rhenium
Ag silver Rf rutherfordium
Ag silver Rg roentgenium
Ag silver Rh rhodium
Ag silver Rn radon
Ag silver Ru ruthenium
Ag silver S sulfur
Ag silver Sb antimony
Ag silver Sc scandium
Ag silver Se selenium
Ag silver Sg seaborgium
Ag silver Si silicon
Ag silver Sm samarium
Ag silver Sn tin
Ag silver Sr strontium
Ag silver Ta tantalum
Ag silver Tb terbium
Ag silver Tc technetium
Ag silver Te tellurium
Ag silver Th thorium
Ag silver Ti titanium
Ag silver Tl thallium
Ag silver Tm thulium
Ag silver Ts tennessine
Ag silver U uranium
Ag silver Uue ununennium
Ag silver V vanadium
Ag silver W tungsten
Ag silver Xe xenon
Ag silver Y yttrium
Ag silver Yb ytterbium
Ag silver Zn zinc
Ag silver Zr zirconium
Al aluminium Ac actinium
Al aluminium Ag silver
Al aluminium Am americium
Al aluminium Ar argon
Al aluminium As arsenic
Al aluminium At astatine
Al aluminium Au gold
Al aluminium B boron
Al aluminium Ba barium
Al aluminium Be beryllium
Al aluminium Bh bohrium
Al aluminium Bi bismuth
Al aluminium Bk berkelium
Al aluminium Br bromine
Al aluminium C carbon
Al aluminium Ca calcium
Al aluminium Cd cadmium
Al aluminium Ce cerium
Al aluminium Cf californium
Al aluminium Cl chlorine
Al aluminium Cm curium
Al aluminium Cn copernicium
Al aluminium Co cobalt
Al aluminium Cr chromium
Al aluminium Cs cesium
Al aluminium Cu copper
Al aluminium Db dubnium
Al aluminium Ds darmstadtium
Al aluminium Dy dysprosium
Al aluminium Er erbium
Al aluminium Es einsteinium
Al aluminium Eu europium
Al aluminium F fluorine
Al aluminium Fe iron
Al aluminium Fl flerovium
Al aluminium Fm fermium
Al aluminium Fr francium
Al aluminium Ga gallium
Al aluminium Gd gadolinium
Al aluminium Ge germanium
Al aluminium H hydrogen
Al aluminium He helium
Al aluminium Hf hafnium
Al aluminium Hg mercury
Al aluminium Ho holmium
Al aluminium Hs hassium
Al aluminium I iodine
Al aluminium In indium
Al aluminium Ir iridium
Al aluminium K potassium
Al aluminium Kr krypton
Al aluminium La lanthanum
Al aluminium Li lithium
Al aluminium Lr lawrencium
Al aluminium Lu lutetium
Al aluminium Lv livermorium
Al aluminium Mc moscovium
Al aluminium Md mendelevium
Al aluminium Mg magnesium
Al aluminium Mn manganese
Al aluminium Mo molybdenum
Al aluminium Mt meitnerium
Al aluminium N nitrogen
Al aluminium Na sodium
Al aluminium Nb niobium
Al aluminium Nd neodymium
Al aluminium Ne neon
Al aluminium Nh nihonium
Al aluminium Ni nickel
Al aluminium No nobelium
Al aluminium Np neptunium
Al aluminium O oxygen
Al aluminium Og oganesson
Al aluminium Os osmium
Al aluminium P phosphorus
Al aluminium Pa protactinium
Al aluminium Pb lead
Al aluminium Pd palladium
Al aluminium Pm promethium
Al aluminium Po polonium
Al aluminium Pr praseodymium
Al aluminium Pt platinum
Al aluminium Pu plutonium
Al aluminium Ra radium
Al aluminium Rb rubidium
Al aluminium Re rhenium
Al aluminium Rf rutherfordium
Al aluminium Rg roentgenium
Al aluminium Rh rhodium
Al aluminium Rn radon
Al aluminium Ru ruthenium
Al aluminium S sulfur
Al aluminium Sb antimony
Al aluminium Sc scandium
Al aluminium Se selenium
Al aluminium Sg seaborgium
Al aluminium Si silicon
Al aluminium Sm samarium
Al aluminium Sn tin
Al aluminium Sr strontium
Al aluminium Ta tantalum
Al aluminium Tb terbium
Al aluminium Tc technetium
Al aluminium Te tellurium
Al aluminium Th thorium
Al aluminium Ti titanium
Al aluminium Tl thallium
Al aluminium Tm thulium
Al aluminium Ts tennessine
Al aluminium U uranium
Al aluminium Uue ununennium
Al aluminium V vanadium
Al aluminium W tungsten
Al aluminium Xe xenon
Al aluminium Y yttrium
Al aluminium Yb ytterbium
Al aluminium Zn zinc
Al aluminium Zr zirconium
Am americium Ac actinium
Am americium Ag silver
Am americium Al aluminium
Am americium Ar argon
Am americium As arsenic
Am americium At astatine
Am americium Au gold
Am americium B boron
Am americium Ba barium
Am americium Be beryllium
Am americium Bh bohrium
Am americium Bi bismuth
Am americium Bk berkelium
Am americium Br bromine
Am americium C carbon
Am americium Ca calcium
Am americium Cd cadmium
Am americium Ce cerium
Am americium Cf californium
Am americium Cl chlorine
Am americium Cm curium
Am americium Cn copernicium
Am americium Co cobalt
Am americium Cr chromium
Am americium Cs cesium
Am americium Cu copper
Am americium Db dubnium
Am americium Ds darmstadtium
Am americium Dy dysprosium
Am americium Er erbium
Am americium Es einsteinium
Am americium Eu europium
Am americium F fluorine
Am americium Fe iron
Am americium Fl flerovium
Am americium Fm fermium
Am americium Fr francium
Am americium Ga gallium
Am americium Gd gadolinium
Am americium Ge germanium
Am americium H hydrogen
Am americium He helium
Am americium Hf hafnium
Am americium Hg mercury
Am americium Ho holmium
Am americium Hs hassium
Am americium I iodine
Am americium In indium
Am americium Ir iridium
Am americium K potassium
Am americium Kr krypton
Am americium La lanthanum
Am americium Li lithium
Am americium Lr lawrencium
Am americium Lu lutetium
Am americium Lv livermorium
Am americium Mc moscovium
Am americium Md mendelevium
Am americium Mg magnesium
Am americium Mn manganese
Am americium Mo molybdenum
Am americium Mt meitnerium
